Bar numb,Tree GtC now,Air GtC now,s,Ppm,Mapped Air GtC now,Soil Potential diff,Soil GtC potential,Soil prediction diff,Soil GtC prediction,Tree Potential diff,Tree GtC potential,Tree GtC prediction,Coordinates,City,Biomes
54,2.25,5.76810218978102,125.5,371,6.70094890510949,5,130.5,2.5,123,0.33,2.58,2.25,,," Taiga, TempC"
55,2,5.75255474452555,113,370,6.21897810218978,5,118,3,110,0.35,2.35,2,,," Tundra, Taiga"
56,1.5,5.76810218978102,97.5,371,6.70094890510949,5,102.5,4,93.5,0.35,1.85,1.5,,," Tundra, Taiga"
57,1.25,5.7836496350365,86,372,7.1829197080292,4.5,90.5,5.5,80.5,0.35,1.6,1.25,,," Tundra, Taiga"
58,1,5.76810218978102,58,371,6.70094890510949,4.5,62.5,5,53,0.35,1.35,1,,," Tundra, Taiga"
59,0.75,5.76810218978102,41,371,6.70094890510949,4,45,6,35,0.35,1.1,0.75,,," Tundra, Taiga"
60,0.75,5.76810218978102,32.5,371,6.70094890510949,3.5,36,5.5,27,0.35,1.1,0.75,,," Tundra, Taiga"
61,0.75,5.75255474452555,17.5,370,6.21897810218978,3,20.5,6,11.5,0.34,1.09,0.75,,,Tundra
62,0.75,5.75255474452555,8.75,370,6.21897810218978,3,11.75,6.5,2.25,0.34,1.09,0.75,,,Tundra
63,0.75,5.75255474452555,9,370,6.21897810218978,3,12,4.5,4.5,0.34,1.09,0.75,,,Tundra
64,0.75,5.75255474452555,4,370,6.21897810218978,3,7,3,1,0.34,1.09,0.75,,,Tundra
65,0.75,5.75255474452555,1,370,6.21897810218978,2,3,2,0,0.34,1.09,0.75,,,Tundra
66,0.75,5.73700729927007,0.5,369,5.73700729927007,0,0.5,0,0.5,0.34,1.09,0.75,,,Tundra
67,0.75,5.73700729927007,1,369,5.73700729927007,0,1,0,1,0.34,1.09,0.75,,,Tundra
68,0.75,5.73700729927007,1,369,5.73700729927007,0,1,0,1,0.34,1.09,0.75,90° N,,Tundra
